ID;Marque;Nom;Gamme;Module;Dimensions;Note;PRIX (à remplir)
602;Rafael González;Panetelas Extra;;Petit panatella;127 mm x 37 (14,68 mm);3⭐;
606;Ramón Allones;Allones N° 3;;Grand robusto;138 mm x 52 (20,64 mm);5⭐;
717;Ramón Allones;Allones Specially Selected;;Robusto;124 mm x 50 (19,84 mm);4⭐;
718;Romeo y Julieta;Amantes;Édition spéciale 150e anniversaire;Grand robusto;153 mm x 53 (21 mm);4⭐;
610;Romeo y Julieta;Belicosos;;Figurado;140 mm x 52 (20,64 mm);5⭐;
627;Romeo y Julieta;Churchills;Churchill;Churchill;178 mm x 47 (18,65 mm);5⭐;
616;Romeo y Julieta;Cupidos;Production Casa del Habano;Figurado;148 mm x 55 (21,8 mm);4⭐;
631;Romeo y Julieta;Dianas;Linea de Oro;Grand robusto;145 mm x 52 (20,64 mm);3⭐;
632;Romeo y Julieta;Hidalgos;Linea de Oro;Gros robusto;125 mm x 57 (22,62 mm);4⭐;
633;Romeo y Julieta;Nobles;Linea de Oro;Figurado;135 mm x 56 (22,22 mm);5⭐;
634;Saint Luis Rey;Regios;;Robusto;127 mm x 48 (19,05 mm);4⭐;
639;San Cristóbal;Reinas; COLECCIÓN HABANOS;Gros robusto;175mm x 55;5⭐;
642;Trinidad;Cabildos;Édition limitée 2024;Churchill;165 mm x 46 (18,26 mm);4⭐;
643;Trinidad;Coloniales;;Corona;132 mm x 44 (17,46 mm);4⭐;
724;Trinidad;Esmeralda;;Grand robusto;145 mm x 53 (21 mm);5⭐;
644;Trinidad;Fundadores;;Grand panatella (laguito n° 1;192 mm x 40 (15,87 mm);5⭐;
645;Trinidad;La Trova;Production Casa del Habano;Double corona (cañonazo;166 mm x 52 (20,64 mm);3⭐;
646;Trinidad;Media Luna;;Petit robusto;115 mm x 50 (19,8 mm);5⭐;
647;Trinidad;Reyes;;Petit corona;110 mm x 40 (15,87 mm);5⭐;
648;Trinidad;Robustos Extra;Édition spéciale 55e anniversaire;Grand robusto;155 mm x 50 (19,84 mm);5⭐;
649;Trinidad;Topes;;Gros robusto;125 mm x 56 (22,22 mm);5⭐;
650;Trinidad;Vigia;;Robusto;110 mm x 54 (21,43 mm);5⭐;
657;Vegueros;Tapados;;Corona gorda (mareva;120 mm x 46 (18,26 mm);3⭐;
